"","Site","Year","Stat","value"
"163",13,"2015","mean",0.364461346446959
"164",14,"2015","mean",0.192845131269482
"165",15,"2015","mean",0.20937275565603
"166",16,"2015","mean",0.234225315186233
"167",17,"2015","mean",0.287823689429376
"168",18,"2015","mean",0.235018298529197
"169",1,"2016","mean",0.427075035082374
"170",2,"2016","mean",0.367299871847799
"171",3,"2016","mean",0.242033007025621
"172",4,"2016","mean",0.308076086541606
"173",5,"2016","mean",0.247878588445364
"174",6,"2016","mean",0.304296314716339
"175",6,"2016","mean",0.252162655879012
"176",7,"2016","mean",0.220833970806708
"177",8,"2016","mean",0.251159572319847
"178",9,"2016","mean",0.258356239480221
"179",10,"2016","mean",0.246274258706107
"180",10,"2016","mean",0.0980475172400475
"181",11,"2016","mean",0.264195256091072
"182",12,"2016","mean",0.315559074717022
"183",13,"2016","mean",0.410980880260468
"184",13,"2016","mean",0.391802518193443
"185",14,"2016","mean",0.203358397675817
"186",15,"2016","mean",0.202309082025057
"187",16,"2016","mean",0.237263483826616
"188",17,"2016","mean",0.283033581892076
"189",18,"2016","mean",0.228724489501213
"190",1,"2017","mean",0.429403317325603
"191",2,"2017","mean",0.377874713304129
"192",3,"2017","mean",0.258796278994438
"193",4,"2017","mean",0.321876803624097
"194",5,"2017","mean",0.258709727686166
"195",6,"2017","mean",0.325496912002563
"196",6,"2017","mean",0.253049703006571
"197",7,"2017","mean",0.231767726899828
"198",8,"2017","mean",0.264073867239866
"199",9,"2017","mean",0.280809591835193
"200",10,"2017","mean",0.260148837500975
"201",10,"2017","mean",0.14825913310051
"202",11,"2017","mean",0.285311619305419
"203",12,"2017","mean",0.334073426601115
"204",13,"2017","mean",0.467067986726761
"205",13,"2017","mean",0.396393175573369
"206",14,"2017","mean",0.217073406663541
"207",15,"2017","mean",0.208589385901231
"208",16,"2017","mean",0.23278099268639
"209",17,"2017","mean",0.30149025246463
"210",18,"2017","mean",0.228362801794294
"211",1,"2018","mean",0.404958539086505
"212",2,"2018","mean",0.363922402931735
"213",3,"2018","mean",0.262550419549279
"214",4,"2018","mean",0.332647561298218
"215",5,"2018","mean",0.26215464867982
"216",6,"2018","mean",0.304758071899414
"217",6,"2018","mean",0.20433312395244
"218",7,"2018","mean",0.200737210314785
"219",8,"2018","mean",0.257221598814721
"220",9,"2018","mean",0.263455932343654
"221",10,"2018","mean",0.245703449850331
"222",10,"2018","mean",0.129497453570366
"223",11,"2018","mean",0.285680155737383
"224",12,"2018","mean",0.324136911767508
"225",13,"2018","mean",0.465945214033127
"226",13,"2018","mean",0.398781342397642
"227",14,"2018","mean",0.190867167709737
"228",15,"2018","mean",0.201820124559495
"229",16,"2018","mean",0.215329462111288
"230",17,"2018","mean",0.296844436742429
"231",18,"2018","mean",0.215792267009687
"232",1,"2019","mean",0.403847444263536
"233",2,"2019","mean",0.355155163525908
"234",3,"2019","mean",0.278148980444203
"235",4,"2019","mean",0.334077149431778
"236",5,"2019","mean",0.273570766697215
"237",6,"2019","mean",0.310748130083084
"238",6,"2019","mean",0.235704639320691
"239",7,"2019","mean",0.214493528550486
"240",8,"2019","mean",0.236664149209853
"241",9,"2019","mean",0.24160364280139
"242",10,"2019","mean",0.228586882803982
"243",10,"2019","mean",0.17895582318306
"244",11,"2019","mean",0.301224384426437
"245",12,"2019","mean",0.325309368255535
"246",13,"2019","mean",0.400481939315796
"247",13,"2019","mean",0.374270933392949
"248",14,"2019","mean",0.204391720136012
"249",15,"2019","mean",0.220018316268242
"250",16,"2019","mean",0.230029081461948
"251",17,"2019","mean",0.304205693586277
"252",18,"2019","mean",0.229627560943905
"253",1,"2002","mean",0.450984331532501
"254",2,"2002","mean",0.378193570913102
"255",3,"2002","mean",0.253896082326646
"256",4,"2002","mean",0.322169224508389
"257",5,"2002","mean",0.266566851797706
"258",6,"2002","mean",0.202989250421524
"259",6,"2002","mean",0.233607728315872
"260",7,"2002","mean",0.199113266407443
"261",8,"2002","mean",0.222307192248904
"262",9,"2002","mean",0.228461662063664
"263",10,"2002","mean",0.206124679179351
"264",10,"2002","mean",0.142048448324203
"265",11,"2002","mean",0.269053549495857
"266",12,"2002","mean",0.317485795334528
"267",13,"2002","mean",0.461467415094376
"268",13,"2002","mean",0.378346094828119
"269",14,"2002","mean",0.171488455682194
"270",15,"2002","mean",0.21200172762527
"271",16,"2002","mean",0.200325950649012
"272",17,"2002","mean",0.294944227325642
"273",18,"2002","mean",0.198487484544791
"274",1,"2020","mean",0.403789399382905
"275",2,"2020","mean",0.369239312399787
"276",3,"2020","mean",0.269134256893903
"277",4,"2020","mean",0.331651399767479
"278",5,"2020","mean",0.288699876760362
"279",6,"2020","mean",0.402308404445648
"280",6,"2020","mean",0.267301265542894
"281",7,"2020","mean",0.263223093576599
"282",8,"2020","mean",0.270457301452403
"283",9,"2020","mean",0.280898644465343
"284",10,"2020","mean",0.287548464402636
"285",10,"2020","mean",0.333089083433151
"286",11,"2020","mean",0.324370170864794
"287",12,"2020","mean",0.346339122220528
"288",13,"2020","mean",0.442642629146576
"289",13,"2020","mean",0.382814939745212
"290",14,"2020","mean",0.26545144239151
"291",15,"2020","mean",0.268916950462479
"292",16,"2020","mean",0.27274845031796
"293",17,"2020","mean",0.3313126007922
"294",18,"2020","mean",0.27142301983729
"295",1,"2003","mean",0.419210593993549
"296",2,"2003","mean",0.376070022350873
"297",3,"2003","mean",0.266917201245008
"298",4,"2003","mean",0.332614620440214
"299",5,"2003","mean",0.269620056891676
"300",6,"2003","mean",0.280704140663147
"301",6,"2003","mean",0.257353535418586
"302",7,"2003","mean",0.237143288286273
